Quotazioni Fantacalcio Stagione 2025 26;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
6869;D;Dc;Ramon;Como;10;4;6;10;4;6;23;23
7220;D;"Dd;E";Belghali;Verona;10;4;6;10;4;6;12;12
5427;D;"Ds;E";Gutierrez;Napoli;10;8;2;10;8;2;12;12
7329;D;"Ds;E";Obrador;Torino;10;6;4;10;6;4;16;16
4210;D;Dc;Mina;Cagliari;9;7;2;9;7;2;12;12
5435;D;"Ds;E";Moreno Alb.;Como;9;3;6;9;3;6;10;10
5520;D;E;Cambiaso;Juventus;9;15;-6;9;14;-5;17;15
5835;D;Dc;Baschirotto;Cremonese;9;8;1;9;8;1;13;13
7143;D;"Ds;E";Angori;Pisa;9;5;4;9;5;4;13;13
6642;D;Dc;Coco;Torino;9;8;1;9;8;1;12;12
7219;D;E;Bernasconi;Atalanta;9;1;8;9;1;8;12;10
393;D;Dc;Luperto;Cremonese;8;7;1;8;7;1;12;12
4433;D;E;Zortea;Bologna;8;16;-8;7;15;-8;12;10
5833;D;Dc;Gila;Lazio;8;9;-1;8;9;-1;16;16
460;D;Dc;Romagnoli;Lazio;8;8;0;8;8;0;16;16
2188;D;"Dd;Ds;E";Marusic;Lazio;8;8;0;8;9;-1;12;15
4751;D;Dc;Tomori;Milan;8;8;0;8;8;0;21;21
2724;D;Dc;Buongiorno;Napoli;8;13;-5;8;13;-5;13;13
6663;D;Dc;Circati;Parma;8;5;3;8;5;3;13;13
7155;D;Dc;Muharemovic;Sassuolo;8;5;3;8;5;3;18;18
4665;D;Dc;Maripan;Torino;8;7;1;8;7;1;8;8
6631;D;Dc;Ghilardi;Roma;8;4;4;8;4;4;11;11
6672;D;Dc;Idzes;Sassuolo;8;7;1;8;7;1;12;12
4137;D;Dc;Diego Carlos;Como;8;5;3;8;5;3;12;12
6550;D;"B;Ds;E";Garcia U.;Sassuolo;8;3;5;8;4;4;17;19
787;D;Dc;Djimsiti;Atalanta;7;8;-1;7;8;-1;13;13
2640;D;"B;Ds;E";Kolasinac;Atalanta;7;7;0;7;7;0;12;14
6042;D;Dc;Lucumì;Bologna;7;8;-1;7;8;-1;12;12
5701;D;"Ds;Dc";Obert;Cagliari;7;4;3;7;4;3;13;15
6660;D;Dc;Marcandalli;Genoa;7;3;4;7;3;4;12;12
6814;D;"Dd;E";Norton-Cuffy;Genoa;7;3;4;7;3;4;14;14
7012;D;Dc;Provstgaard;Lazio;7;3;4;7;3;4;12;12
5812;D;"Dd;Ds;E";Terracciano F.;Cremonese;7;2;5;7;2;5;11;13
4772;D;E;Angelino;Roma;7;15;-8;7;14;-7;7;7
6426;D;"Dd;E";Pedersen;Torino;7;4;3;7;4;3;12;12
6047;D;"Dd;E";Ehizibue;Udinese;7;5;2;7;5;2;10;10
6639;D;"Ds;E";Frese;Verona;7;3;4;7;3;4;12;12
6046;D;Dc;Hien;Atalanta;6;11;-5;6;11;-5;10;10
5578;D;"Dd;Dc";Kossounou;Atalanta;6;9;-3;6;9;-3;8;10
4887;D;E;Bellanova;Atalanta;6;13;-7;6;12;-6;11;12
4461;D;"B;Dd;E";Zappa;Cagliari;6;6;0;6;7;-1;8;10
7014;D;"Dd;Dc";Smolcic I.;Como;6;2;4;6;2;4;12;12
6013;D;"Dd;Ds;E";Barbieri;Cremonese;6;3;3;5;4;1;10;13
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;6;7;-1;6;7;-1;10;12
5449;D;E;Parisi;Fiorentina;6;5;1;6;4;2;12;12
5739;D;"Dd;Dc";De Winter;Milan;6;8;-2;6;9;-3;10;12
6039;D;"B;Ds;E";Cabal;Juventus;6;5;1;6;5;1;9;11
7175;D;E;Joao Mario;Bologna;6;8;-2;6;7;-1;12;12
5620;D;"Ds;E";Tavares N.;Lazio;6;12;-6;6;12;-6;18;18
5527;D;"Dd;E";Zanoli;Udinese;6;3;3;6;3;3;12;12
2273;D;Dc;Caracciolo A.;Pisa;6;4;2;6;4;2;10;10
5010;D;Dc;Ismajli;Torino;6;8;-2;6;8;-2;14;14
5555;D;"Ds;E";Kamara H.;Udinese;6;7;-1;6;7;-1;15;15
5532;D;"Ds;E";Bradaric;Verona;6;4;2;6;4;2;11;11
7240;D;Dc;Siebert;Lecce;6;5;1;6;5;1;14;14
7352;D;Dc;Edmundsson;Verona;6;2;4;6;2;4;12;12
7125;D;"Ds;E";Idrissi R.;Cagliari;5;3;2;5;3;2;9;9
6230;D;Dc;Dossena;Cagliari;5;4;1;5;4;1;8;8
6896;D;"Dd;E";Van Der Brempt;Como;5;4;1;5;4;1;8;8
7131;D;"Dd;E";Floriani Mussolini;Cremonese;5;5;0;5;5;0;12;12
5603;D;Dc;Pongracic;Fiorentina;5;5;0;5;5;0;12;12
513;D;Dc;Acerbi;Inter;5;9;-4;5;9;-4;10;10
5831;D;Dc;Gatti;Juventus;5;8;-3;5;8;-3;8;7
2728;D;"Ds;E";Pellegrini Lu.;Lazio;5;3;2;5;3;2;9;9
6990;D;"Dd;E";Veiga D.;Lecce;5;1;4;5;1;4;13;13
4401;D;Dc;Gabbia;Milan;5;6;-1;5;6;-1;14;14
5840;D;"Ds;E";Olivera;Napoli;5;10;-5;5;10;-5;14;11
5307;D;Dc;Valenti;Parma;5;4;1;5;4;1;10;10
7139;D;Dc;Canestrelli;Pisa;5;3;2;5;3;2;11;11
4374;D;"Dd;Dc";Walukiewicz;Sassuolo;5;5;0;5;6;-1;12;14
5820;D;Dc;Bertola;Udinese;5;6;-1;5;6;-1;9;9
5994;D;"Ds;Dc";Ebosse;Torino;5;4;1;5;5;0;7;9
697;D;E;Cuadrado;Pisa;5;7;-2;5;6;-1;8;8
7018;D;Dc;Nelsson;Verona;5;5;0;5;5;0;11;11
7235;D;Dc;Troilo;Parma;5;6;-1;5;6;-1;12;12
7274;D;Dc;Zè Pedro;Cagliari;5;4;1;5;4;1;11;11
6916;D;"B;Ds;E";Ahanor;Atalanta;4;6;-2;4;7;-3;10;12
7068;D;Dc;Vitik;Bologna;4;8;-4;4;8;-4;7;7
612;D;Dc;Bianchetti;Cremonese;4;3;1;4;3;1;9;9
7130;D;Dc;Folino;Cremonese;4;4;0;4;4;0;8;8
770;D;"Ds;E";Pezzella Giu.;Cremonese;4;5;-1;4;5;-1;10;10
6495;D;Dc;Comuzzo;Fiorentina;4;7;-3;4;7;-3;11;11
256;D;"Ds;Dc";Juan Jesus;Napoli;4;3;1;4;3;1;10;12
5481;D;"Dd;Ds;E";Mazzocchi;Napoli;4;3;1;4;3;1;7;9
5851;D;"Ds;E";Doig;Sassuolo;4;6;-2;4;6;-2;10;10
4385;D;"Dd;E";Lazaro;Torino;4;7;-3;4;7;-3;11;11
6992;D;"B;Dd;E";Oyegoke;Verona;4;2;2;4;2;2;4;5
7212;D;"Ds;Dc";Heggem;Bologna;4;4;0;4;5;-1;12;14
7255;D;"Dd;Ds;E";Britschgi;Parma;4;1;3;4;1;3;8;10
7268;D;"Ds;Dc";Rodriguez Ju.;Cagliari;4;1;3;4;1;3;10;12
6665;D;"Dd;Ds;E";Coulibaly W.;Sassuolo;4;3;1;4;4;0;4;6
487;D;"Dd;E";De Silvestri;Bologna;3;4;-1;3;4;-1;8;8
791;D;"Dd;Ds;E";Sabelli;Genoa;3;5;-2;3;5;-2;10;12
322;D;Dc;De Vrij;Inter;3;9;-6;3;9;-6;9;9
2525;D;"B;Dd;E";Darmian;Inter;3;4;-1;3;5;-2;8;10
327;D;"Dd;Dc";Patric;Lazio;3;4;-1;3;4;-1;10;10
2263;D;"Dd;E";Lazzari;Lazio;3;4;-1;3;4;-1;9;9
6809;D;Dc;Marianucci;Torino;3;3;0;3;3;0;8;8
2745;D;"B;Dd;E";Calabresi;Pisa;3;3;0;3;4;-1;6;8
6211;D;"Ds;E";Zemura;Udinese;3;3;0;3;3;0;8;8
6957;D;Dc;Valentini N.;Verona;3;4;-1;3;4;-1;8;8
7253;D;Dc;Bella-Kotchap;Verona;3;6;-3;3;6;-3;10;10
5168;D;"Ds;E";Tsimikas;Roma;3;4;-1;3;4;-1;8;8
7335;D;Dc;Zatterstrom;Genoa;3;4;-1;3;4;-1;8;8
6149;D;"Ds;E";Carboni F.;Parma;3;2;1;3;2;1;4;4
7353;D;Dc;Pedro Felipe;Sassuolo;3;1;2;3;1;2;3;3
2653;D;"Ds;E";Lykogiannis;Bologna;2;5;-3;2;5;-3;10;10
7069;D;E;Fortini;Fiorentina;2;3;-1;2;3;-1;9;9
6977;D;Dc;Otoa;Genoa;2;2;0;2;2;0;9;9
294;D;Dc;Rugani;Fiorentina;2;3;-1;2;3;-1;10;10
6632;D;Dc;Gaspar K.;Lecce;2;8;-6;2;8;-6;10;10
6883;D;Dc;Jean;Lecce;2;3;-1;2;3;-1;3;3
5273;D;"Ds;E";Estupinan;Milan;2;11;-9;2;11;-9;8;8
252;D;"Ds;E";Biraghi;Torino;2;8;-6;2;8;-6;5;5
7011;D;Dc;Slotsager;Verona;2;2;0;2;2;0;7;7
7202;D;Dc;Ndiaye;Parma;2;4;-2;2;4;-2;5;5
7222;D;"Dd;Ds;E";Cham;Verona;2;1;1;2;1;1;6;6
7260;D;Dc;Ziolkowski;Roma;2;3;-1;2;3;-1;9;9
5156;D;"Ds;E";Nkounkou;Torino;2;3;-1;2;3;-1;8;8
7312;D;"Ds;E";Arizala;Udinese;2;1;1;2;1;1;1;1
7326;D;"Dd;Dc";Helland;Bologna;2;4;-2;2;4;-2;7;7
2006;D;"B;Dd;E";Lirola;Verona;2;4;-2;2;4;-2;7;8
7356;D;Dc;Mlacic;Udinese;2;3;-1;2;3;-1;9;9
7377;D;"Ds;E";Balbo;Fiorentina;2;1;1;2;1;1;4;4
5498;D;Dc;Casale;Bologna;1;4;-3;1;4;-3;9;9
418;D;Dc;Goldaniga;Como;1;4;-3;1;4;-3;6;6
1891;D;"Dd;Dc";Ceccherini;Cremonese;1;4;-3;1;4;-3;7;9
5899;D;Dc;Gigot;Lazio;1;4;-3;1;4;-3;3;3
140;D;"Dd;Ds;E";Hysaj;Lazio;1;3;-2;1;3;-2;4;4
7164;D;"Dd;Dc";Perez M.;Lecce;1;1;0;1;1;0;2;2
7182;D;"Ds;E";Ndaba;Lecce;1;1;0;1;1;0;7;7
7140;D;Dc;Coppola F.;Pisa;1;1;0;1;1;0;4;4
2279;D;Dc;Romagna;Sassuolo;1;4;-3;1;4;-3;8;8
7156;D;"Ds;E";Pieragnolo;Sassuolo;1;2;-1;1;2;-1;3;3
7196;D;Dc;Denoon;Pisa;1;2;-1;1;2;-1;4;4
6985;D;"Ds;Dc";Candè;Sassuolo;1;6;-5;1;6;-5;5;7
7238;D;Dc;Kouadio;Fiorentina;1;1;0;1;1;0;1;1
6870;D;Dc;Faye;Cremonese;1;4;-3;1;4;-3;5;5
7271;D;Dc;Odogu;Milan;1;2;-1;1;2;-1;5;5
388;D;Dc;Albiol;Pisa;1;5;-4;1;5;-4;8;8
7325;D;Dc;Bozhinov;Pisa;1;2;-1;1;2;-1;8;8
7346;D;"Dd;E";Raterink;Cagliari;1;1;0;1;1;0;1;1
6875;C;"T;A";Paz N.;Como;26;20;6;26;20;6;245;245
4777;C;"C;T";McTominay;Napoli;25;26;-1;25;26;-1;215;215
7126;C;T;Baturina;Como;24;9;15;24;8;16;95;95
2194;C;"M;C";Calhanoglu;Inter;24;23;1;24;24;0;190;215
2423;C;"T;A";Pulisic;Milan;24;28;-4;24;28;-4;100;100
2379;C;"C;T";Rabiot;Milan;23;23;0;23;23;0;195;195
2517;C;T;De Bruyne;Napoli;21;23;-2;22;22;0;92;92
5559;C;"C;W;T";Da Cunha;Como;20;12;8;20;13;7;80;85
152;C;"C;T";Zielinski;Inter;20;4;16;20;4;16;60;60
6908;C;C;Atta;Udinese;20;6;14;20;6;14;85;85
2167;C;"W;A";Orsolini;Bologna;19;30;-11;19;29;-10;150;150
2766;C;"T;A";Zaniolo;Udinese;19;11;8;19;10;9;100;100
1870;C;C;Barella;Inter;18;14;4;18;14;4;58;58
4973;C;"M;C";McKennie;Juventus;18;10;8;18;11;7;107;127
6884;C;"W;A";Conceicao;Juventus;18;18;0;18;17;1;65;65
2606;C;C;Modric;Milan;18;12;6;18;12;6;90;90
1933;C;"M;C";Mandragora;Fiorentina;17;14;3;17;14;3;60;70
6717;C;"M;C";Konè I.;Sassuolo;17;6;11;18;7;11;67;77
5687;C;T;Vlasic;Torino;17;15;2;17;14;3;100;100
6151;C;"M;C";Perrone;Como;16;8;8;16;9;7;50;60
4970;C;"C;W";Messias;Genoa;16;8;8;16;8;8;12;12
6398;C;"W;A";Isaksen;Lazio;16;14;2;16;14;2;35;35
4427;C;"C;T";Malinovskyi;Genoa;15;8;7;15;8;7;34;34
4892;C;"E;W";Saelemaekers;Milan;15;12;3;15;14;1;36;39
4220;C;"M;C";Zambo Anguissa;Napoli;15;15;0;16;16;0;20;25
6666;C;C;Bernabè;Parma;15;11;4;15;11;4;23;23
5844;C;"C;T";Thorstvedt;Sassuolo;15;8;7;15;8;7;40;40
6844;C;"W;T";Rowe;Bologna;15;14;1;15;14;1;49;51
5422;C;"E;W";Zalewski;Atalanta;14;6;8;14;6;8;19;19
2529;C;"C;T";Mkhitaryan;Inter;14;9;5;14;9;5;14;14
5562;C;"M;C";Thuram K.;Juventus;14;16;-2;14;17;-3;41;46
6190;C;C;Pisilli;Roma;14;7;7;14;7;7;17;17
6684;C;"C;T";Ekkelenkamp;Udinese;14;10;4;14;10;4;51;51
7314;C;"C;T";Taylor K.;Lazio;14;14;0;14;14;0;52;52
5792;C;"M;C";Ederson D.S.;Atalanta;13;15;-2;13;16;-3;30;35
184;C;"W;A";Bernardeschi;Bologna;13;9;4;13;8;5;33;35
2765;C;"T;A";Odgaard;Bologna;13;16;-3;13;15;-2;14;14
4364;C;T;Gaetano;Cagliari;13;8;5;13;7;6;15;13
5036;C;"C;T";Caqueret;Como;13;12;1;13;12;1;18;18
4486;C;"W;A";Strefezza;Parma;13;10;3;13;10;3;50;50
5800;C;"T;A";Gudmundsson A.;Fiorentina;13;24;-11;13;23;-10;35;35
632;C;"W;A";Zaccagni;Lazio;13;26;-13;12;25;-13;25;25
5504;C;"M;C";Coulibaly L.;Lecce;13;7;6;13;8;5;21;26
536;C;W;Politano;Napoli;13;15;-2;13;14;-1;31;28
779;C;"M;C";Cristante;Roma;13;9;4;13;9;4;26;31
5589;C;"M;C";Konè M.;Roma;13;14;-1;13;15;-2;39;44
530;C;"C;T";Pellegrini Lo.;Roma;13;11;2;13;11;2;24;24
5735;C;"W;T";Volpato;Sassuolo;13;5;8;13;5;8;17;19
5888;C;"C;T";Casadei;Torino;13;12;1;13;12;1;20;20
2077;C;"C;T";Pasalic;Atalanta;12;9;3;12;9;3;14;14
4404;C;"C;T";Thorsby;Cremonese;12;5;7;12;5;7;12;12
827;C;"M;C";Locatelli;Juventus;12;12;0;12;13;-1;47;52
7351;C;"W;A";Santos A.;Napoli;12;7;5;12;6;6;54;54
7133;C;"W;T";Vandeputte;Cremonese;11;12;-1;11;12;-1;15;17
4465;C;C;Fagioli;Fiorentina;11;8;3;11;8;3;35;35
7070;C;C;Sucic P.;Inter;11;9;2;11;9;2;21;21
333;C;"M;C";Cataldi;Lazio;11;5;6;11;5;6;17;22
5674;C;C;Basic;Lazio;11;1;10;11;1;10;25;25
5453;C;"M;C";Ricci S.;Milan;11;10;1;11;11;0;13;15
6898;C;"M;C";Keita M.;Parma;11;6;5;11;7;4;18;23
5651;C;W;Harrison;Fiorentina;11;10;1;11;10;1;23;23
4947;C;"C;T";Brescianini;Fiorentina;10;8;2;10;8;2;15;15
4896;C;"T;A";Maldini;Lazio;10;9;1;11;8;3;20;20
6252;C;"C;T";Folorunsho;Cagliari;10;9;1;10;9;1;14;14
4686;C;"M;C";Fofana Y.;Milan;10;11;-1;10;12;-2;18;23
4199;C;"C;T";Loftus-Cheek;Milan;10;8;2;10;8;2;12;12
4287;C;"M;C";Lobotka;Napoli;10;9;1;11;10;1;20;25
6831;C;"W;A";Neres;Napoli;10;13;-3;10;13;-3;15;15
2334;C;W;Leris;Pisa;10;2;8;10;2;8;12;13
1976;C;"M;C";Mazzitelli;Cagliari;10;5;5;10;5;5;12;15
22;C;"M;C";De Roon;Atalanta;9;12;-3;9;13;-4;22;27
5119;C;T;Samardzic;Atalanta;9;12;-3;9;11;-2;11;10
6054;C;"M;C";Moro N.;Bologna;9;3;6;9;3;6;11;16
6294;C;"M;C";Ndour;Fiorentina;9;2;7;9;2;7;22;27
5791;C;"M;C";Frendrup;Genoa;9;9;0;9;10;-1;15;20
4711;C;"E;W";Kostic;Juventus;9;4;5;9;5;4;8;8
795;C;W;El Shaarawy;Roma;9;8;1;9;7;2;11;11
5823;C;"T;A";Baldanzi;Genoa;9;8;1;9;8;1;15;15
6680;C;"M;C";Karlstrom;Udinese;9;6;3;9;6;3;15;20
5761;C;W;Zhegrova;Juventus;9;19;-10;9;19;-10;12;12
7318;C;"C;T";Gandelman;Lecce;9;6;3;9;6;3;13;13
788;C;"M;C";Freuler;Bologna;8;11;-3;8;12;-4;14;17
5298;C;"M;C";Pobega;Bologna;8;8;0;8;9;-1;13;16
4870;C;"M;C";Adopo;Cagliari;8;5;3;8;6;2;13;15
6020;C;"C;W";Ellertsson;Genoa;8;5;3;8;5;3;10;12
5301;C;"E;W";Luis Henrique;Inter;8;7;1;8;7;1;12;14
6394;C;"M;C";Ramadani;Lecce;8;6;2;8;7;1;13;16
6271;C;"M;C";El Aynaoui;Roma;8;9;-1;8;9;-1;11;14
6815;C;W;Fadera;Sassuolo;8;6;2;8;5;3;10;10
2839;C;"W;A";Sottil;Lecce;8;11;-3;8;10;-2;9;9
7223;C;"W;T";Vergara;Napoli;8;1;7;8;1;7;12;14
2528;C;"M;C";Matic;Sassuolo;8;4;4;9;5;4;13;16
4349;C;"M;C";Nicolussi Caviglia;Parma;8;9;-1;8;10;-2;15;20
6424;C;"M;C";Prati;Torino;7;3;4;7;3;4;11;14
6640;C;W;Felici;Cagliari;7;6;1;6;5;1;7;7
5813;C;"C;T";Miretti;Juventus;7;5;2;7;5;2;12;12
6015;C;"C;T";Berisha M.;Lecce;7;3;4;7;3;4;9;9
6549;C;"W;A";Pierotti;Lecce;7;10;-3;7;9;-2;13;11
5131;C;"M;C";Gilmour;Napoli;7;7;0;7;7;0;12;15
6170;C;C;Gineitis;Torino;7;5;2;7;5;2;9;9
7028;C;C;Bernede;Verona;7;4;3;7;4;3;11;11
7198;C;C;Piotrowski;Udinese;7;6;1;7;6;1;11;11
7208;C;"M;C";Miller L.;Udinese;7;3;4;6;4;2;11;14
7209;C;C;Sorensen O.;Parma;7;6;1;7;6;1;12;12
6005;C;"C;T";Ilkhan;Torino;7;1;6;7;1;6;8;8
6274;C;C;Diouf;Inter;7;7;0;7;7;0;13;13
4479;C;"W;T";Elmas;Napoli;7;11;-4;7;11;-4;13;15
801;C;"M;C";Gagliardini;Verona;7;2;5;7;2;5;12;15
6024;C;"M;C";Sulemana I.;Cagliari;6;4;2;6;4;2;10;11
5784;C;C;Aebischer;Pisa;6;4;2;6;4;2;12;12
6206;C;"C;T";Fabbian;Fiorentina;6;10;-4;6;10;-4;9;9
1871;C;"M;C";Deiola;Cagliari;6;5;1;6;5;1;11;14
6629;C;"C;T";Dele-Bashiru;Lazio;6;11;-5;6;11;-5;14;14
5998;C;"E;W";Zerbin;Cremonese;6;3;3;6;3;3;9;12
7138;C;"M;C";Ordonez C.;Parma;6;5;1;6;6;0;12;15
5318;C;"W;T";Tramoni M.;Pisa;6;12;-6;6;12;-6;10;12
6246;C;"M;C";Lipani;Sassuolo;6;4;2;6;4;2;8;11
6458;C;C;Serdar;Verona;6;5;1;6;5;1;10;10
